,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
6,レアンドロ　ペレイラ, Leandro Marcos Peruchena Pereira(LEANDRO PEREIRA),ポルトゲーザ／ブラジル－シャペコエンセ／ブラジル－パルメイラス／ブラジル－クラブ　ブルージュ／ベルギー－パルメイラス／ブラジル－スポルチ　レシフェ／ブラジル－シャペコエンセ／ブラジル－松本山雅ＦＣ－サンフレッチェ広島－松本山雅ＦＣ－サンフレッチェ広島－松本山雅ＦＣ,1991/07/13,ガンバ大阪
7,倉田　秋,Shu KURATA,ＦＣファルコン－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ジェフユナイテッド千葉－ガンバ大阪－セレッソ大阪,1988/11/26,ガンバ大阪
8,小野　裕二,Yuji ONO,城北ファイターズ－横浜Ｆ・マリノスＪｒユース追浜－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－スタンダード　リエージュ／ベルギー－シント　トロイデン／ベルギー－サガン鳥栖,1992/12/22,ガンバ大阪
9,菅沼　駿哉,Shunya SUGANUMA,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ロアッソ熊本－ガンバ大阪－ジュビロ磐田－ガンバ大阪－ジュビロ磐田－京都サンガF.C.－モンテディオ山形,1990/05/17,ガンバ大阪
10,福田　湧矢,Yuya FUKUDA,小倉南ＦＣ－小倉南ＦＣＪｒユース－東福岡高,1999/04/04,ガンバ大阪
11,井手口　陽介,Yosuke IDEGUCHI,中央ＦＣ－ストリートＳＣ－油山カメリアＦＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－リーズ　ユナイテッド／イングランド－クルトゥラル　レオネサ／スペイン－グロイター　フュルト／ドイツ－リーズ　ユナイテッド／イングランド,1996/08/23,ガンバ大阪
12,佐藤　瑶大,Yota SATO,羽衣ＳＣ－立川エルフＦＣ－ＦＣ多摩Ｊｒユース－駒澤大高－明治大,1998/09/10,ガンバ大阪
13,奥野　耕平,Kohei OKUNO,ガンバ大阪Ｊｒユース－ガンバ大阪ユース,2000/04/03,ガンバ大阪
14,パトリック,Anderson PATRIC Aguiar Oliveira,パイサンドゥＳＣ／ブラジル－ＣＡヴィラ　リカ／ブラジル－サンタクルスＦＣ／ブラジル－サルグエイロＡＣ／ブラジル－ＡＤＲＣイカザ／ブラジル－デモクラタＦＣ／ブラジル－ヴェラクルズＦＣ／ブラジル－ＳＥＲサンジョゼ／ブラジル－アメリカーノＦＣ／ブラジル－ミストＥＣ／ブラジル－ヴァスコ　ダ　ガマ／ブラジル－ヴィラノバＦＣ／ブラジル－アトレチコ　ゴイアニエンセ／ブラジル－川崎フロンターレ－ヴァンフォーレ甲府－フォルトレーザ／ブラジル－ガンバ大阪－サンフレッチェ広島,1987/10/26,ガンバ大阪
15,キム　ヨングォン,KIM Young Gwon,全州大／大韓民国－ＦＣ東京－大宮アルディージャ－広州恒大足球倶楽部／中国,1990/02/27,ガンバ大阪
16,一美　和成,Kazunari ICHIMI,エスペランサ熊本ジュニア－エスペランサ熊本Ｊｒユース－大津高－ガンバ大阪－京都サンガF.C.－ガンバ大阪－横浜ＦＣ,1997/11/10,ガンバ大阪
17,矢島　慎也,Shinya YAJIMA,北浦和サッカースポーツ少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－ファジアーノ岡山－浦和レッズ－ファジアーノ岡山－浦和レッズ－ガンバ大阪－ベガルタ仙台,1994/01/18,ガンバ大阪
18,一森　純,Jun ICHIMORI,ゼッセル熊取ＦＣ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－関西学院大－レノファ山口ＦＣ－ファジアーノ岡山,1991/07/02,ガンバ大阪
19,林　瑞輝,Mizuki HAYASHI,大和田少年ＳＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－レノファ山口ＦＣ,1996/09/04,ガンバ大阪
20,黒川　圭介,Keisuke KUROKAWA,ＦＣ高津－ＦＣライオスＪｒユース－ヴィッセル神戸伊丹Ｕ－１５－大阪桐蔭高－関西大,1997/04/13,ガンバ大阪
21,石川　慧,Kei ISHIKAWA,関屋中－新潟明訓高－ベガルタ仙台－ソニー仙台ＦＣ－ベガルタ仙台－ブラウブリッツ秋田－ベガルタ仙台－栃木ＳＣ－サガン鳥栖,1992/09/30,ガンバ大阪
22,髙尾　瑠,Ryu TAKAO,Ａ.Ｆ.Ｃ.　Ａｇｕｉ－名古屋グランパス名古屋－名古屋グランパスＵ１５－名古屋グランパスＵ１８－関西学院大,1996/11/09,ガンバ大阪
23,ウェリントン　シウバ,Wellington Alves Da Silva(WELLINGTON SILVA),フルミネンセＦＣ／ブラジル－アーセナル／イングランド－レバンテＵＤ／スペイン－アーセナル／イングランド－ＣＤアルコヤーノ／スペイン－アーセナル／イングランド－ＳＤポンフェラディーナ／スペイン－アーセナル／イングランド－レアル　ムルシア／スペイン－アーセナル／イングランド－ＵＤアルメリア／スペイン－アーセナル／イングランド－ボルトン　ワンダラーズ／イングランド－アーセナル／イングランド－フルミネンセＦＣ／ブラジル－インテルナシオナル／ブラジル－フルミネンセＦＣ／ブラジル,1993/01/06,ガンバ大阪
24,山本　悠樹,Yuki YAMAMOTO,野洲ジュニアＦＣ－ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ－ＦＣ湖東－草津東高－関西学院大,1997/11/06,ガンバ大阪
25,塚元　大,Dai TSUKAMOTO,和泉市ＦＣ－ＳＳクリエイト－ガンバ大阪Ｊｒユース－ガンバ大阪ユース,2001/06/23,ガンバ大阪
26,加藤　大智,Taichi KATO,名古屋グランパスＵ－１５－名古屋グランパスＵ－１８－明治大－愛媛ＦＣ,1997/04/14,ガンバ大阪
27,チアゴ　アウベス,TIAGO ALVES Sales De Lima,パラナ　クルーベ／ブラジル－浦項スティーラース／大韓民国－城南ＦＣ／大韓民国－アルヒラル／サウジアラビア－清水エスパルス－アルヒラル／サウジアラビア－全北現代モータース／大韓民国－サガン鳥栖－全北現代モータース／大韓民国－サガン鳥栖,1993/01/12,ガンバ大阪
28,白井　陽斗,Haruto SHIRAI,ガンバ大阪門真Ｊｒユース－ガンバ大阪ユース,1999/10/23,ガンバ大阪
29,川﨑　修平,Shuhei KAWASAKI,イーデス岸和田ＳＣ－ＮＳＣ北斗ＳＣ－ＳＳクリエイト－ガンバ大阪Ｊｒユース－ガンバ大阪ユース,2001/04/28,ガンバ大阪
30,宇佐美　貴史,Takashi USAMI,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ＦＣバイエルン　ミュンヘン／ドイツ－ホッフェンハイム／ドイツ－ガンバ大阪－ＦＣアウクスブルク／ドイツ－フォルトゥナデュッセルドルフ／ドイツ,1992/05/06,ガンバ大阪
31,シン　ウォノ,SHIN Won Ho,軍浦中／大韓民国－輔仁高／大韓民国,2001/05/19,ガンバ大阪
32,浅野　直希,Naoki ASANO,アバンティ枚方－高槻松原ＳＣ－T・フジタＳＣ枚方－ガンバ大阪Ｊｒユース,2003/04/21,ガンバ大阪
33,坂本　一彩,Isa SAKAMOTO,ソレッソ熊本－ＪＦＡアカデミー福島Ｕ－１５－ソレッソ熊本,2003/08/26,ガンバ大阪
34,上西　駿大,Shundai JONISHI,京都Ｊ－マルカＦＣ－ガンバ大阪Ｊｒユース,2004/08/14,ガンバ大阪
35,中村　仁郎,Jiro NAKAMURA,ダックＳＣ－ガンバ大阪Ｊｒユース,2003/08/22,ガンバ大阪
36,平川　拓斗,Takuto HIRAKAWA,春日サントスＦＣ－ガンバ大阪Ｊｒユース,2003/04/23,ガンバ大阪
0,ダン　バン　ラム,DANG VAN LAM,ホアンアインザライ／ベトナム－ホアンアインアッタプー／ラオス－ホアンアインザライ／ベトナム－ホーチミン　シティＦＣ／ベトナム－ハイ　フォンＦＣ／ベトナム－ムアントンユナイテッド／タイ,1993/08/13,セレッソ大阪
1,松田　陸,Riku MATSUDA,大阪セントラルＦＣジュニア－大阪セントラルＦＣＪｒユース－立正大淞南高－びわこ成蹊スポーツ大－ＦＣ東京,1991/07/24,セレッソ大阪
2,進藤　亮佑,Ryosuke SHINDO,ＳＳＳ札幌－ＳＳＳＪｒユース－コンサドーレ札幌Ｕ－１８－北海道コンサドーレ札幌,1996/06/07,セレッソ大阪
3,原川　力,Riki HARAKAWA,レオーネ山口－京都サンガF.C.Ｕ－１８－京都サンガF.C.－愛媛ＦＣ－京都サンガF.C.－川崎フロンターレ－サガン鳥栖－川崎フロンターレ－サガン鳥栖,1993/08/18,セレッソ大阪
4,藤田　直之,Naoyuki FUJITA,ライジングスターズ－東海大第五高－福岡大－サガン鳥栖－ヴィッセル神戸,1987/06/22,セレッソ大阪
5,チアゴ,TIAGO Pagnussat,クリシューマＥＣ／ブラジル－ヴィラ　アウロラ／ブラジル－クリシューマＥＣ／ブラジル－ヴィラ　アウロラ／ブラジル－ＳＥＲカシアス／ブラジル－グアラニ／ブラジル－ＳＥＲカシアス／ブラジル－アトレチコＭＧ／ブラジル－ＥＣバイーア／ブラジル－アトレチコＭＧ／ブラジル－ＥＣバイーア／ブラジル－アトレティコ　ラヌス／アルゼンチン－ＥＣバイーア／ブラジル－セアラーＳＣ／ブラジル,1990/06/17,セレッソ大阪
6,アダム　タガート,Adam Jake Taggart(ADAM TAGGART),パース　グローリー／オーストラリア－ニューキャッスル／オーストラリア－フルハム／イングランド－ダンディーＵＦＣ／スコットランド－フルハム／イングランド－パース　グローリー／オーストラリア－ブリスベン　ロアー／オーストラリア－水原三星ブルーウィングス／大韓民国,1993/06/02,セレッソ大阪
7,清武　弘嗣,Hiroshi KIYOTAKE,大分トリニータＵ－１５－大分トリニータＵ－１８－大分トリニータ－セレッソ大阪－１．ＦＣニュルンベルク／ドイツ－ハノーファー９６／ドイツ－セビージャ／スペイン,1989/11/12,セレッソ大阪
8,高木　俊幸,Toshiyuki TAKAGI,あざみ野Ｆ．Ｃ．－ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－清水エスパルス－浦和レッズ,1991/05/25,セレッソ大阪
9,丸橋　祐介,Yusuke MARUHASHI,大阪市ジュネッスＦＣ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８,1990/09/02,セレッソ大阪
10,瀬古　歩夢,Ayumu SEKO,セレッソ大阪Ｕ－１２－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８,2000/06/07,セレッソ大阪
11,新井　直人,Naoto ARAI,北沢キッカーズ－ＦＣ渋谷－実践学園高－新潟経営大－アルビレックス新潟,1996/10/07,セレッソ大阪
12,坂元　達裕,Tatsuhiro SAKAMOTO,ＦＣ東京Ｕ－１５むさし－前橋育英高－東洋大－モンテディオ山形,1996/10/22,セレッソ大阪
13,西川　潤,Jun NISHIKAWA,青葉ＦＣ－横浜Ｆ・マリノスＪｒユース－桐光学園高,2002/02/21,セレッソ大阪
14,為田　大貴,Hirotaka TAMEDA,ナガサキアシストサッカーユニオン－大分トリニータＵ－１８－大分トリニータ－アビスパ福岡－ジェフユナイテッド千葉－アビスパ福岡－ジェフユナイテッド千葉,1993/08/24,セレッソ大阪
15,大久保　嘉人,Yoshito OKUBO,苅田サッカースポーツ少年団－国見中－国見高－セレッソ大阪－ＲＣＤマジョルカ／スペイン－セレッソ大阪－ヴィッセル神戸－ヴォルフスブルグ／ドイツ－ヴィッセル神戸－川崎フロンターレ－ＦＣ東京－川崎フロンターレ－ジュビロ磐田－東京ヴェルディ,1982/06/09,セレッソ大阪
16,キム　ジンヒョン,KIM Jin Hyeon,東国高／大韓民国－東国大／大韓民国,1987/07/06,セレッソ大阪
17,松田　力,Riki MATSUDA,大阪セントラルＦＣ－立正大淞南高－びわこ成蹊スポーツ大－名古屋グランパス－ジェフユナイテッド千葉－名古屋グランパス－アビスパ福岡－ヴァンフォーレ甲府,1991/07/24,セレッソ大阪
18,鳥海　晃司,Koji TORIUMI,ＦＣウーノ木更津－ジェフユナイテッド千葉Ｕ－１５－ジェフユナイテッド千葉Ｕ－１８－明治大－ジェフユナイテッド千葉,1995/05/09,セレッソ大阪
19,奥埜　博亮,Hiroaki OKUNO,ベガルタ仙台Ｊｒユース－ベガルタ仙台ユース－仙台大－ベガルタ仙台－Ｖ・ファーレン長崎－ベガルタ仙台－Ｖ・ファーレン長崎－ベガルタ仙台,1989/08/14,セレッソ大阪
20,小池　裕太,Yuta KOIKE,ＦＣアネーロ宇都宮Ｕ－１５－アルビレックス新潟ユース－流通経済大－シント＝トロイデン／ベルギー－鹿島アントラーズ－シント＝トロイデン／ベルギー,1996/11/06,セレッソ大阪
21,中島　元彦,Motohiko NAKAJIMA,セレッソ大阪Ｕ－１２－セレッソ大阪西Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－アルビレックス新潟,1999/04/18,セレッソ大阪
22,加藤　陸次樹,Mutsuki KATO,江南南サッカー少年団－クマガヤサッカースポーツクラブ－サンフレッチェ広島ユース－中央大－ツエーゲン金沢,1997/08/06,セレッソ大阪
23,喜田　陽,Hinata KIDA,セレッソ大阪Ｕ－１２－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－アビスパ福岡,2000/07/04,セレッソ大阪
24,藤尾　翔太,Shota FUJIO,リップエースＳＣ－リップエースＳＣＪｒユース－セレッソ大阪Ｕ－１８,2001/05/02,セレッソ大阪
25,豊川　雄太,Yuta TOYOKAWA,大津高－鹿島アントラーズ－ファジアーノ岡山－鹿島アントラーズ－ファジアーノ岡山－鹿島アントラーズ－ＫＡＳオイペン／ベルギー,1994/09/09,セレッソ大阪
26,西尾　隆矢,Ryuya NISHIO,ＦＣグラシオン－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８,2001/05/16,セレッソ大阪
27,山田　寛人,Hiroto YAMADA,愛知ＦＣ－ホペイロ刈谷－セレッソ大阪Ｕ－１８－セレッソ大阪－ＦＣ琉球－セレッソ大阪－ベガルタ仙台,2000/03/07,セレッソ大阪
28,澤上　竜二,Ryuji SAWAKAMI,三和スポーツ少年団－桜ＦＣ－飛龍高－大阪体育大－セレッソ大阪－ＦＣ今治,1993/10/08,セレッソ大阪
29,松本　泰志,Taishi MATSUMOTO,クマガヤＳＣ－昌平高－サンフレッチェ広島－アビスパ福岡－サンフレッチェ広島,1998/08/22,セレッソ大阪
30,ダンクレー,DANKLER Luis De Jesus Pedreira,ECヴィトーリア／ブラジル－ボタフォゴ／ブラジル－ジョインビレＥＣ／ブラジル－エストリル／ポルトガル－ＲＣランス／フランス－ヴィトーリアＦＣ／ポルトガル－ヴィッセル神戸,1992/01/24,セレッソ大阪
31,春名　竜聖,Ryusei HARUNA,江井ヶ島イレブン－セレッソ大阪西Ｕ－１５,2004/05/01,セレッソ大阪
32,下中　凌我,Ryoga SHIMONAKA,テイヘンズＦＣ金沢Ｕ－１２－ツエーゲン金沢Ｕ－１５,2003/06/23,セレッソ大阪
33,松井　謙弥,Kenya MATSUI,ヤマハジュビロＳＳ掛川－ジュビロ磐田ユース－ジュビロ磐田－京都サンガF.C.－ジュビロ磐田－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－徳島ヴォルティス－川崎フロンターレ－大宮アルディージャ－水戸ホーリーホック,1985/09/10,セレッソ大阪
