,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
377,稲垣　祥,Sho INAGAKI,1991/12/25,名古屋グランパス,サンフレッチェ広島,ヴァンフォーレ甲府,日本体育大,帝京高,ＦＣ東京Ｕ-１５むさし,サウスユーベＦＣ,大泉西ハリケーン,,,,,,,,,,,,,,
378,マテウス,MATEUS Dos Santos Castro,1994/09/11,名古屋グランパス,横浜Ｆ・マリノス,名古屋グランパス,大宮アルディージャ,ＥＣバイーア／ブラジル,大宮アルディージャ,ＥＣバイーア／ブラジル,,,,,,,,,,,,,,,
379,森下　龍矢,Ryoya MORISHITA,1997/04/11,名古屋グランパス,サガン鳥栖,明治大,ジュビロ磐田Ｕ-１８,ジュビロＳＳ掛川,掛川ＪＦＣ０１,,,,,,,,,,,,,,,,
380,渋谷　飛翔,Tsubasa SHIBUYA,1995/01/27,名古屋グランパス,横浜ＦＣ,関東第一高,ヴェルディＳＳレスチ,ミッキーＳＣ,,,,,,,,,,,,,,,,,
381,齋藤　学,Manabu SAITO,1990/04/04,名古屋グランパス,川崎フロンターレ,横浜Ｆ・マリノス,愛媛ＦＣ,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,横浜Ｆ・マリノスプライマリー,,,,,,,,,,,,,,
382,武田　洋平,Yohei TAKEDA,1987/06/30,名古屋グランパス,大分トリニータ,セレッソ大阪,清水エスパルス,ガンバ大阪,清水エスパルス,アルビレックス新潟,清水エスパルス,大津高,大津中,枚方フジタＳＣ,,,,,,,,,,,
383,三井　大輝,Daiki MITSUI,2001/05/27,名古屋グランパス,名古屋グランパスＵ-１８,名古屋グランパスＵ-１５,名古屋グランパスＵ-１２,日進ＳＳＳ,,,,,,,,,,,,,,,,,
384,吉田　豊,Yutaka YOSHIDA,1990/02/17,名古屋グランパス,サガン鳥栖,清水エスパルス,ヴァンフォーレ甲府,静岡学園高,リベルダージＦＣ,富士根南ＳＳＳ,,,,,,,,,,,,,,,
385,石田　凌太郎,Ryotaro ISHIDA,2001/12/13,名古屋グランパス,名古屋グランパスＵ-１８,名古屋グランパスＵ-１５,名古屋グランパスＵ-１２,,,,,,,,,,,,,,,,,,
386,前田　直輝,Naoki MAEDA,1994/11/17,名古屋グランパス,松本山雅ＦＣ,横浜Ｆ・マリノス,東京ヴェルディ,松本山雅ＦＣ,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディ１９６９ジュニア,北浦和サッカースポーツ少年団,,,,,,,,,,,,
387,成瀬　竣平,Shumpei NARUSE,2001/01/17,名古屋グランパス,名古屋グランパスＵ-１８,名古屋グランパスＵ１５,瀬戸FCジュニア,,,,,,,,,,,,,,,,,,
388,児玉　駿斗,Shunto KODAMA,1998/12/03,名古屋グランパス,東海学園大,中央学院高,ＬＥＯ　ＳＣ,摂津ＦＣ,,,,,,,,,,,,,,,,,
389,吉田　晃,Akira YOSHIDA,2001/07/09,名古屋グランパス,九州国際大付属高,小倉南ＦＣ,小倉南ＦＣジュニア,,,,,,,,,,,,,,,,,,
390,甲田　英將,Hidemasa KODA,2003/10/02,名古屋グランパス,名古屋グランパスＵ-１５,名古屋グランパスＵ-１２,川島サッカー少年団,,,,,,,,,,,,,,,,,,
391,吉田　温紀,Haruki YOSHIDA,2003/04/29,名古屋グランパス,名古屋グランパスＵ-１５,アレグロッソ桜島,,,,,,,,,,,,,,,,,,,
392,金崎　夢生,Mu KANAZAKI,1989/02/16,名古屋グランパス,サガン鳥栖,名古屋グランパス,サガン鳥栖,鹿島アントラーズ,ポルティモネンセＳＣ／ポルトガル,鹿島アントラーズ,ポルティモネンセＳＣ／ポルトガル,１．ＦＣニュルンベルク／ドイツ,名古屋グランパス,大分トリニータ,滝川二高,,,,,,,,,,
393,東口　順昭,Masaaki HIGASHIGUCHI,1986/05/12,ガンバ大阪,アルビレックス新潟,新潟経営大,福井工大,洛南高,ガンバ大阪Ｊｒユース,ＦＣＯＷＬＳＩＮＴＥＲ．ＨＩＲＯＮＯ,,,,,,,,,,,,,,,
394,昌子　源,Gen SHOJI,1992/12/11,ガンバ大阪,トゥールーズＦＣ／フランス,鹿島アントラーズ,米子北高,ガンバ大阪Ｊｒユース,フレスカ神戸Ｕ-１２,,,,,,,,,,,,,,,,
395,藤春　廣輝,Hiroki FUJIHARU,1988/11/28,ガンバ大阪,大阪体育大,東海大仰星高,ＥＸＥ’９０ＦＣ,クサカＳＳ,,,,,,,,,,,,,,,,,
396,三浦　弦太,Genta MIURA,1995/03/01,ガンバ大阪,清水エスパルス,大阪桐蔭高,ＦＣ豊橋デューミラン,,,,,,,,,,,,,,,,,,
397,チュ　セジョン,JU Se Jong,1990/10/30,ガンバ大阪,ＦＣソウル／大韓民国,牙山ムグンファＦＣ／大韓民国,ＦＣソウル／大韓民国,釜山アイパーク／大韓民国,建国大／大韓民国,,,,,,,,,,,,,,,,
398,小野瀬　康介,Kosuke ONOSE,1993/04/22,ガンバ大阪,レノファ山口ＦＣ,横浜ＦＣ,横浜ＦＣユース,横浜ＦＣＪｒユース,ミッキーＳＣ,,,,,,,,,,,,,,,,
399,レアンドロ　ペレイラ, Leandro Marcos Peruchena Pereira(LEANDRO PEREIRA),1991/07/13,ガンバ大阪,松本山雅ＦＣ,サンフレッチェ広島,松本山雅ＦＣ,サンフレッチェ広島,松本山雅ＦＣ,シャペコエンセ／ブラジル,スポルチ　レシフェ／ブラジル,パルメイラス／ブラジル,クラブ　ブルージュ／ベルギー,パルメイラス／ブラジル,シャペコエンセ／ブラジル,ポルトゲーザ／ブラジル,,,,,,,,,
400,倉田　秋,Shu KURATA,1988/11/26,ガンバ大阪,セレッソ大阪,ガンバ大阪,ジェフユナイテッド千葉,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,ＦＣファルコン,,,,,,,,,,,,,,
401,小野　裕二,Yuji ONO,1992/12/22,ガンバ大阪,サガン鳥栖,シント　トロイデン／ベルギー,スタンダード　リエージュ／ベルギー,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース追浜,城北ファイターズ,,,,,,,,,,,,,,
402,菅沼　駿哉,Shunya SUGANUMA,1990/05/17,ガンバ大阪,モンテディオ山形,京都サンガF.C.,ジュビロ磐田,ガンバ大阪,ジュビロ磐田,ガンバ大阪,ロアッソ熊本,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,
403,福田　湧矢,Yuya FUKUDA,1999/04/04,ガンバ大阪,東福岡高,小倉南ＦＣＪｒユース,小倉南ＦＣ,,,,,,,,,,,,,,,,,,
404,井手口　陽介,Yosuke IDEGUCHI,1996/08/23,ガンバ大阪,リーズ　ユナイテッド／イングランド,グロイター　フュルト／ドイツ,クルトゥラル　レオネサ／スペイン,リーズ　ユナイテッド／イングランド,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,油山カメリアＦＣ,ストリートＳＣ,中央ＦＣ,,,,,,,,,,,
405,佐藤　瑶大,Yota SATO,1998/09/10,ガンバ大阪,明治大,駒澤大高,ＦＣ多摩Ｊｒユース,立川エルフＦＣ,羽衣ＳＣ,,,,,,,,,,,,,,,,
406,奥野　耕平,Kohei OKUNO,2000/04/03,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,,,,,,,,,
407,パトリック,Anderson PATRIC Aguiar Oliveira,1987/10/26,ガンバ大阪,サンフレッチェ広島,ガンバ大阪,フォルトレーザ／ブラジル,ヴァンフォーレ甲府,川崎フロンターレ,アトレチコ　ゴイアニエンセ／ブラジル,ヴィラノバＦＣ／ブラジル,ヴァスコ　ダ　ガマ／ブラジル,ミストＥＣ／ブラジル,アメリカーノＦＣ／ブラジル,ＳＥＲサンジョゼ／ブラジル,ヴェラクルズＦＣ／ブラジル,デモクラタＦＣ／ブラジル,ＡＤＲＣイカザ／ブラジル,サルグエイロＡＣ／ブラジル,サンタクルスＦＣ／ブラジル,ＣＡヴィラ　リカ／ブラジル,パイサンドゥＳＣ／ブラジル,,,
408,キム　ヨングォン,KIM Young Gwon,1990/02/27,ガンバ大阪,広州恒大足球倶楽部／中国,大宮アルディージャ,ＦＣ東京,全州大／大韓民国,,,,,,,,,,,,,,,,,
409,一美　和成,Kazunari ICHIMI,1997/11/10,ガンバ大阪,横浜ＦＣ,ガンバ大阪,京都サンガF.C.,ガンバ大阪,大津高,エスペランサ熊本Ｊｒユース,エスペランサ熊本ジュニア,,,,,,,,,,,,,,
410,矢島　慎也,Shinya YAJIMA,1994/01/18,ガンバ大阪,ベガルタ仙台,ガンバ大阪,浦和レッズ,ファジアーノ岡山,浦和レッズ,ファジアーノ岡山,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,北浦和サッカースポーツ少年団,,,,,,,,,,,
411,一森　純,Jun ICHIMORI,1991/07/02,ガンバ大阪,ファジアーノ岡山,レノファ山口ＦＣ,関西学院大,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,ゼッセル熊取ＦＣ,,,,,,,,,,,,,,,
412,林　瑞輝,Mizuki HAYASHI,1996/09/04,ガンバ大阪,レノファ山口ＦＣ,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,大和田少年ＳＣ,,,,,,,,,,,,,,,,
413,黒川　圭介,Keisuke KUROKAWA,1997/04/13,ガンバ大阪,関西大,大阪桐蔭高,ヴィッセル神戸伊丹Ｕ-１５,ＦＣライオスＪｒユース,ＦＣ高津,,,,,,,,,,,,,,,,
414,石川　慧,Kei ISHIKAWA,1992/09/30,ガンバ大阪,サガン鳥栖,栃木ＳＣ,ベガルタ仙台,ブラウブリッツ秋田,ベガルタ仙台,ソニー仙台ＦＣ,ベガルタ仙台,新潟明訓高,関屋中,,,,,,,,,,,,
415,髙尾　瑠,Ryu TAKAO,1996/11/09,ガンバ大阪,関西学院大,名古屋グランパスＵ１８,名古屋グランパスＵ１５,名古屋グランパス名古屋,Ａ.Ｆ.Ｃ.　Ａｇｕｉ,,,,,,,,,,,,,,,,
416,ウェリントン　シウバ,Wellington Alves Da Silva(WELLINGTON SILVA),1993/01/06,ガンバ大阪,フルミネンセＦＣ／ブラジル,インテルナシオナル／ブラジル,フルミネンセＦＣ／ブラジル,アーセナル／イングランド,ボルトン　ワンダラーズ／イングランド,アーセナル／イングランド,ＵＤアルメリア／スペイン,アーセナル／イングランド,レアル　ムルシア／スペイン,アーセナル／イングランド,ＳＤポンフェラディーナ／スペイン,アーセナル／イングランド,ＣＤアルコヤーノ／スペイン,アーセナル／イングランド,レバンテＵＤ／スペイン,アーセナル／イングランド,フルミネンセＦＣ／ブラジル,,,,
417,山本　悠樹,Yuki YAMAMOTO,1997/11/06,ガンバ大阪,関西学院大,草津東高,ＦＣ湖東,ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ,野洲ジュニアＦＣ,,,,,,,,,,,,,,,,
418,塚元　大,Dai TSUKAMOTO,2001/06/23,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,ＳＳクリエイト,和泉市ＦＣ,,,,,,,,,,,,,,,,,
419,加藤　大智,Taichi KATO,1997/04/14,ガンバ大阪,愛媛ＦＣ,明治大,名古屋グランパスＵ-１８,名古屋グランパスＵ-１５,,,,,,,,,,,,,,,,,
420,チアゴ　アウベス,TIAGO ALVES Sales De Lima,1993/01/12,ガンバ大阪,サガン鳥栖,全北現代モータース／大韓民国,サガン鳥栖,全北現代モータース／大韓民国,アルヒラル／サウジアラビア,清水エスパルス,アルヒラル／サウジアラビア,城南ＦＣ／大韓民国,浦項スティーラース／大韓民国,パラナ　クルーベ／ブラジル,,,,,,,,,,,
421,白井　陽斗,Haruto SHIRAI,1999/10/23,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪門真Ｊｒユース,,,,,,,,,,,,,,,,,,,
422,川﨑　修平,Shuhei KAWASAKI,2001/04/28,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,ＳＳクリエイト,ＮＳＣ北斗ＳＣ,イーデス岸和田ＳＣ,,,,,,,,,,,,,,,,
423,宇佐美　貴史,Takashi USAMI,1992/05/06,ガンバ大阪,フォルトゥナデュッセルドルフ／ドイツ,ＦＣアウクスブルク／ドイツ,ガンバ大阪,ホッフェンハイム／ドイツ,ＦＣバイエルン　ミュンヘン／ドイツ,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,,,
424,シン　ウォノ,SHIN Won Ho,2001/05/19,ガンバ大阪,輔仁高／大韓民国,軍浦中／大韓民国,,,,,,,,,,,,,,,,,,,
425,浅野　直希,Naoki ASANO,2003/04/21,ガンバ大阪,ガンバ大阪Ｊｒユース,T・フジタＳＣ枚方,高槻松原ＳＣ,アバンティ枚方,,,,,,,,,,,,,,,,,
426,坂本　一彩,Isa SAKAMOTO,2003/08/26,ガンバ大阪,ソレッソ熊本,ＪＦＡアカデミー福島Ｕ-１５,ソレッソ熊本,,,,,,,,,,,,,,,,,,
427,上西　駿大,Shundai JONISHI,2004/08/14,ガンバ大阪,ガンバ大阪Ｊｒユース,マルカＦＣ,京都Ｊ,,,,,,,,,,,,,,,,,,
428,中村　仁郎,Jiro NAKAMURA,2003/08/22,ガンバ大阪,ガンバ大阪Ｊｒユース,ダックＳＣ,,,,,,,,,,,,,,,,,,,
429,平川　拓斗,Takuto HIRAKAWA,2003/04/23,ガンバ大阪,ガンバ大阪Ｊｒユース,春日サントスＦＣ,,,,,,,,,,,,,,,,,,,
430,ダン　バン　ラム,DANG VAN LAM,1993/08/13,セレッソ大阪,ムアントンユナイテッド／タイ,ハイ　フォンＦＣ／ベトナム,ホーチミン　シティＦＣ／ベトナム,ホアンアインザライ／ベトナム,ホアンアインアッタプー／ラオス,ホアンアインザライ／ベトナム,,,,,,,,,,,,,,,
431,松田　陸,Riku MATSUDA,1991/07/24,セレッソ大阪,ＦＣ東京,びわこ成蹊スポーツ大,立正大淞南高,大阪セントラルＦＣＪｒユース,大阪セントラルＦＣジュニア,,,,,,,,,,,,,,,,
432,進藤　亮佑,Ryosuke SHINDO,1996/06/07,セレッソ大阪,北海道コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,ＳＳＳＪｒユース,ＳＳＳ札幌,,,,,,,,,,,,,,,,,
433,原川　力,Riki HARAKAWA,1993/08/18,セレッソ大阪,サガン鳥栖,川崎フロンターレ,サガン鳥栖,川崎フロンターレ,京都サンガF.C.,愛媛ＦＣ,京都サンガF.C.,京都サンガF.C.Ｕ-１８,レオーネ山口,,,,,,,,,,,,
434,藤田　直之,Naoyuki FUJITA,1987/06/22,セレッソ大阪,ヴィッセル神戸,サガン鳥栖,福岡大,東海大第五高,ライジングスターズ,,,,,,,,,,,,,,,,
435,チアゴ,TIAGO Pagnussat,1990/06/17,セレッソ大阪,セアラーＳＣ／ブラジル,ＥＣバイーア／ブラジル,アトレティコ　ラヌス／アルゼンチン,ＥＣバイーア／ブラジル,アトレチコＭＧ／ブラジル,ＥＣバイーア／ブラジル,アトレチコＭＧ／ブラジル,ＳＥＲカシアス／ブラジル,グアラニ／ブラジル,ＳＥＲカシアス／ブラジル,ヴィラ　アウロラ／ブラジル,クリシューマＥＣ／ブラジル,ヴィラ　アウロラ／ブラジル,クリシューマＥＣ／ブラジル,,,,,,,
436,アダム　タガート,Adam Jake Taggart(ADAM TAGGART),1993/06/02,セレッソ大阪,水原三星ブルーウィングス／大韓民国,ブリスベン　ロアー／オーストラリア,パース　グローリー／オーストラリア,フルハム／イングランド,ダンディーＵＦＣ／スコットランド,フルハム／イングランド,ニューキャッスル／オーストラリア,パース　グローリー／オーストラリア,,,,,,,,,,,,,
437,清武　弘嗣,Hiroshi KIYOTAKE,1989/11/12,セレッソ大阪,セビージャ／スペイン,ハノーファー９６／ドイツ,１．ＦＣニュルンベルク／ドイツ,セレッソ大阪,大分トリニータ,大分トリニータＵ-１８,大分トリニータＵ-１５,,,,,,,,,,,,,,
438,高木　俊幸,Toshiyuki TAKAGI,1991/05/25,セレッソ大阪,浦和レッズ,清水エスパルス,東京ヴェルディ,東京ヴェルディユース,ヴェルディＪｒユース,あざみ野Ｆ．Ｃ．,,,,,,,,,,,,,,,
439,丸橋　祐介,Yusuke MARUHASHI,1990/09/02,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,大阪市ジュネッスＦＣ,,,,,,,,,,,,,,,,,,
440,瀬古　歩夢,Ayumu SEKO,2000/06/07,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,セレッソ大阪Ｕ-１２,,,,,,,,,,,,,,,,,,
441,新井　直人,Naoto ARAI,1996/10/07,セレッソ大阪,アルビレックス新潟,新潟経営大,実践学園高,ＦＣ渋谷,北沢キッカーズ,,,,,,,,,,,,,,,,
442,坂元　達裕,Tatsuhiro SAKAMOTO,1996/10/22,セレッソ大阪,モンテディオ山形,東洋大,前橋育英高,ＦＣ東京Ｕ-１５むさし,,,,,,,,,,,,,,,,,
443,西川　潤,Jun NISHIKAWA,2002/02/21,セレッソ大阪,桐光学園高,横浜Ｆ・マリノスＪｒユース,青葉ＦＣ,,,,,,,,,,,,,,,,,,
444,為田　大貴,Hirotaka TAMEDA,1993/08/24,セレッソ大阪,ジェフユナイテッド千葉,アビスパ福岡,ジェフユナイテッド千葉,アビスパ福岡,大分トリニータ,大分トリニータＵ-１８,ナガサキアシストサッカーユニオン,,,,,,,,,,,,,,
445,大久保　嘉人,Yoshito OKUBO,1982/06/09,セレッソ大阪,東京ヴェルディ,ジュビロ磐田,川崎フロンターレ,ＦＣ東京,川崎フロンターレ,ヴィッセル神戸,ヴォルフスブルグ／ドイツ,ヴィッセル神戸,セレッソ大阪,ＲＣＤマジョルカ／スペイン,セレッソ大阪,国見高,国見中,苅田サッカースポーツ少年団,,,,,,,
446,キム　ジンヒョン,KIM Jin Hyeon,1987/07/06,セレッソ大阪,東国大／大韓民国,東国高／大韓民国,,,,,,,,,,,,,,,,,,,
447,松田　力,Riki MATSUDA,1991/07/24,セレッソ大阪,ヴァンフォーレ甲府,アビスパ福岡,名古屋グランパス,ジェフユナイテッド千葉,名古屋グランパス,びわこ成蹊スポーツ大,立正大淞南高,大阪セントラルＦＣ,,,,,,,,,,,,,
448,鳥海　晃司,Koji TORIUMI,1995/05/09,セレッソ大阪,ジェフユナイテッド千葉,明治大,ジェフユナイテッド千葉Ｕ-１８,ジェフユナイテッド千葉Ｕ-１５,ＦＣウーノ木更津,,,,,,,,,,,,,,,,
449,奥埜　博亮,Hiroaki OKUNO,1989/08/14,セレッソ大阪,ベガルタ仙台,Ｖ・ファーレン長崎,ベガルタ仙台,Ｖ・ファーレン長崎,ベガルタ仙台,仙台大,ベガルタ仙台ユース,ベガルタ仙台Ｊｒユース,,,,,,,,,,,,,
450,小池　裕太,Yuta KOIKE,1996/11/06,セレッソ大阪,シント＝トロイデン／ベルギー,鹿島アントラーズ,シント＝トロイデン／ベルギー,流通経済大,アルビレックス新潟ユース,ＦＣアネーロ宇都宮Ｕ-１５,,,,,,,,,,,,,,,
451,中島　元彦,Motohiko NAKAJIMA,1999/04/18,セレッソ大阪,アルビレックス新潟,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪西Ｕ-１５,セレッソ大阪Ｕ-１２,,,,,,,,,,,,,,,,
452,加藤　陸次樹,Mutsuki KATO,1997/08/06,セレッソ大阪,ツエーゲン金沢,中央大,サンフレッチェ広島ユース,クマガヤサッカースポーツクラブ,江南南サッカー少年団,,,,,,,,,,,,,,,,
453,喜田　陽,Hinata KIDA,2000/07/04,セレッソ大阪,アビスパ福岡,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,セレッソ大阪Ｕ-１２,,,,,,,,,,,,,,,,
454,藤尾　翔太,Shota FUJIO,2001/05/02,セレッソ大阪,セレッソ大阪Ｕ-１８,リップエースＳＣＪｒユース,リップエースＳＣ,,,,,,,,,,,,,,,,,,
