,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
1699,狩俣　瑛斗,Akito KARIMATA,MF,2004/12/03,164,53,,,,,,,,,,,,,,,,,,,,,,
1700,狩土名　禅,Zen CARDONA,FW,1998/05/12,190,82,ギラヴァンツ北九州,明治大,桐生第一高,コペルソーラーＦＣ／アメリカ合衆国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1701,カルフィン　ヨン　ア　ピン,Calvin Ray Jong A Pin(CALVIN JONG A PIN),DF,1986/07/18,183,78,横浜ＦＣ,ＦＣ町田ゼルビア,清水エスパルス,ＳＣヘーレンフェーン／オランダ,フィテッセ／オランダ,ＳＣヘーレンフェーン／オランダ,ＦＣフォレンダム／オランダ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1702,苅部　隆太郎,Ryutaro KARUBE,MF,1992/12/19,188,76,,,,,,,,,,,,,,,,,,,,,,
1703,カルボン,KARBON Fadel Abdulkader Mohamad Chaaban,MF,1992/12/10,192,85,,,,,,,,,,,,,,,,,,,,,,
1704,カルボーネ,Rodrigo Jose CARBONE,MF,1974/03/17,176,70,,,,,,,,,,,,,,,,,,,,,,
1705,カルリーニョス,Carlos Pereira Berto Junior(CARLINHOS),MF,1983/03/04,170,69,,,,,,,,,,,,,,,,,,,,,,
1706,カルリーニョス　ジュニオ,Carlos Antonio De Souza Junior(CARLINHOS JUNIOR),FW,1994/08/08,174,71,清水エスパルス,ＦＣルガーノ／スイス,ボタフォゴＦＣ／ブラジル,パラナ　クルーベ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1707,カルロ　ブルシッチ,KARLO BRUCIC,DF,1992/04/17,183,73,,,,,,,,,,,,,,,,,,,,,,
1708,カルロス,Luiz CARLOS Guarnieri,DF,1971/08/13,183,75,,,,,,,,,,,,,,,,,,,,,,
1709,カルロス,CARLOS Soares Garrit,MF,1971/12/04,175,69,,,,,,,,,,,,,,,,,,,,,,
1710,カルロス　グティエレス,CARLOS GUTIERREZ Gonzalez,DF,1991/11/04,192,82,アビスパ福岡,ＣＤヌマンシア／スペイン,ブルゴス／スペイン,ラスパルマス／スペイン,CDレガネス／スペイン,ラスパルマス／スペイン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1711,カルロス　マルティネス,CARLOS MARTINEZ Rodriguez,FW,1986/06/27,185,79,,,,,,,,,,,,,,,,,,,,,,
1712,カルロン,Carlos Alexandre De Souza Silva(CARLAO),FW,1986/08/01,190,78,,,,,,,,,,,,,,,,,,,,,,
1713,カレカ,Rodrigo Vergilio(CARECA),FW,1983/04/13,181,80,,,,,,,,,,,,,,,,,,,,,,
1714,カレン　ロバート,Robert CULLEN,FW,1985/06/07,180,75,,,,,,,,,,,,,,,,,,,,,,
1715,川井　歩,Ayumu KAWAI,DF,1999/08/12,177,66,レノファ山口ＦＣ,サンフレッチェ広島,レノファ山口ＦＣ,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,愛宕サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1716,川井　健太,Kenta KAWAI,FW,1981/06/07,182,72,,,,,,,,,,,,,,,,,,,,,,
1717,川井　光一,Koichi KAWAI,DF,1979/03/29,178,70,,,,,,,,,,,,,,,,,,,,,,
1718,河合　秀人,Shuto KAWAI,MF,1993/10/01,170,62,松本山雅ＦＣ,ＦＣ琉球,ＡＣ長野パルセイロ,ガイナーレ鳥取,大阪学院大,京都橘高,枚方第三中,枚方サンクラブ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1719,河合　駿,Shun KAWAI,DF,2000/10/30,166,61,,,,,,,,,,,,,,,,,,,,,,
1720,河合　崇泰,Takayasu KAWAI,MF,1977/03/07,175,60,,,,,,,,,,,,,,,,,,,,,,
1721,河井　哲太,Tetta KAWAI,DF,2000/05/08,183,70,,,,,,,,,,,,,,,,,,,,,,
1722,河井　陽介,Yosuke KAWAI,MF,1989/08/04,166,60,清水エスパルス,慶応大,藤枝東高,藤枝東ＦＣ,青島ＳＳＳ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1723,河合　竜二,Ryuji KAWAI,DF,1978/07/14,183,75,,,,,,,,,,,,,,,,,,,,,,
1724,川勝　博康,Hiroyasu KAWAKATSU,FW,1975/09/19,185,75,,,,,,,,,,,,,,,,,,,,,,
1725,川上　エドオジョン　智慧,Chie EDOOJON KAWAKAMI,MF,1998/04/21,167,68,徳島ヴォルティス,ＳＣ相模原,徳島ヴォルティス,カターレ富山,徳島ヴォルティス,浦和レッズユース,浦和レッズＪｒユース,西上尾キッカーズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1726,川上　隼,Shun KAWAKAMI,GK,2002/07/16,178,76,,,,,,,,,,,,,,,,,,,,,,
1727,川上　翔平,Shohei KAWAKAMI,MF,1995/05/17,167,67,,,,,,,,,,,,,,,,,,,,,,
1728,河上　将平,Shohei KAWAKAMI,MF,1997/10/26,169,66,藤枝ＭＹＦＣ,専修大,東海大翔洋高,レオーネ山口Ｕ-１５,レオーネ山口Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729,川上　盛司,Seiji KAWAKAMI,DF,1995/06/20,171,68,,,,,,,,,,,,,,,,,,,,,,
1730,川上　翼,Tsubasa KAWAKAMI,GK,2003/10/15,175,77,,,,,,,,,,,,,,,,,,,,,,
1731,川上　典洋,Norihiro KAWAKAMI,DF,1987/04/04,184,78,,,,,,,,,,,,,,,,,,,,,,
1732,川上　優樹,Yuki KAWAKAMI,DF,1997/07/18,184,72,ザスパクサツ群馬,明治大,矢板中央高,ジュニオールＳＣ横浜,松浪ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1733,川上　悠斗,Yuto KAWAKAMI,MF,2000/05/28,168,59,,,,,,,,,,,,,,,,,,,,,,
1734,川上　陽星,Yosei KAWAKAMI,MF,2001/07/09,173,63,,,,,,,,,,,,,,,,,,,,,,
1735,川上　竜,Ryu KAWAKAMI,MF,1994/10/25,177,73,ＳＣ相模原,ギラヴァンツ北九州,福島ユナイテッドＦＣ,福岡大,アビスパ福岡Ｕ-１８,アビスパ福岡Ｕ-１５,壱岐ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1736,川北　裕介,Yusuke KAWAKITA,GK,1978/05/13,184,80,,,,,,,,,,,,,,,,,,,,,,
1737,川岸　祐輔,Yusuke KAWAGISHI,DF,1992/05/26,187,81,,,,,,,,,,,,,,,,,,,,,,
1738,川口　晃,Akira KAWAGUCHI,GK,1967/01/24,189,85,,,,,,,,,,,,,,,,,,,,,,
1739,川口　航平,Kohei KAWAGUCHI,DF,2004/04/28,185,78,,,,,,,,,,,,,,,,,,,,,,
1740,河口　真一,Shinichi KAWAGUCHI,DF,1977/06/13,188,81,,,,,,,,,,,,,,,,,,,,,,
1741,川口　卓哉,Takuya KAWAGUCHI,DF,1978/10/11,181,75,,,,,,,,,,,,,,,,,,,,,,
1742,川口　尚紀,Naoki KAWAGUCHI,DF,1994/05/24,177,72,柏レイソル,アルビレックス新潟,柏レイソル,アルビレックス新潟,清水エスパルス,アルビレックス新潟,アルビレックス新潟ユース,長岡ビルボードＦＣＪｒユース,希望が丘ＳＣスポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-
1743,川口　信男,Nobuo KAWAGUCHI,FW,1975/04/10,178,72,,,,,,,,,,,,,,,,,,,,,,
1744,川口　真史,Masashi KAWAGUCHI,FW,1993/10/05,170,68,,,,,,,,,,,,,,,,,,,,,,
1745,川口　正人,Masato KAWAGUCHI,DF,1981/06/18,174,63,,,,,,,,,,,,,,,,,,,,,,
1746,川口　能活,Yoshikatsu KAWAGUCHI,GK,1975/08/15,180,77,,,,,,,,,,,,,,,,,,,,,,
1747,川崎　晶弘,Akihiro KAWASAKI,DF,1998/04/02,167,57,,,,,,,,,,,,,,,,,,,,,,
1748,川﨑　淳,Atsushi KAWASAKI,GK,2003/07/05,193,77,浦和レッズ,T・ボレアーレＵＯＺＵ-水橋ＦＣ　Ｕ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1749,川﨑　一輝,Ikki KAWASAKI,MF,1997/11/08,174,68,カマタマーレ讃岐,大阪経済大,東海大仰星高,ガンバ大阪門真Ｊｒユース,長尾ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1750,川崎　健太郎,Kentaro KAWASAKI,MF,1982/12/18,175,69,,,,,,,,,,,,,,,,,,,,,,
1751,川﨑　修平,Shuhei KAWASAKI,FW,2001/04/28,168,66,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,ＳＳクリエイト,ＮＳＣ北斗ＳＣ,イーデス岸和田ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1752,川﨑　颯太（川崎　颯太）,Sota KAWASAKI,MF,2001/07/30,172,68,京都サンガF.C.,京都サンガF.C.Ｕ-１８,ヴァンフォーレ甲府Ｕ-１５,ヴァンフォーレ甲府Ｕ-１２,フォルトゥナＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1753,川崎　元気,Motoki KAWASAKI,MF,1979/02/02,182,72,,,,,,,,,,,,,,,,,,,,,,
1754,川﨑　裕大,Yasumasa KAWASAKI,DF,1992/08/20,175,69,ＳＣ相模原,横浜ＦＣ,カターレ富山,横浜ＦＣ,サンフレッチェ広島,横浜ＦＣ,サンフレッチェ広島,流通経済大,成立学園高,横浜ＦＣ泉Ｊｒユース,フェニックスＦＣ,-,-,-,-,-,-,-,-,-,-,-
1755,川崎　楽生,Rai KAWASAKI,DF,2005/05/23,166,66,,,,,,,,,,,,,,,,,,,,,,
1756,川里　光太郎,Kotaro KAWASATO,DF,1988/06/10,177,73,,,,,,,,,,,,,,,,,,,,,,
1757,川島　永嗣,Eiji KAWASHIMA,GK,1983/03/20,185,80,,,,,,,,,,,,,,,,,,,,,,
1758,川島　眞也,Shinya KAWASHIMA,DF,1978/07/20,188,85,,,,,,,,,,,,,,,,,,,,,,
1759,川島　大輝,Daiki KAWASHIMA,GK,1996/04/16,182,68,,,,,,,,,,,,,,,,,,,,,,
1760,川島　大地,Daichi KAWASHIMA,MF,1986/11/21,168,64,,,,,,,,,,,,,,,,,,,,,,
1761,川島　透,Toru KAWASHIMA,GK,1970/06/04,181,73,,,,,,,,,,,,,,,,,,,,,,
1762,川島　將,Nobuyuki KAWASHIMA,DF,1992/02/04,183,77,藤枝ＭＹＦＣ,ギラヴァンツ北九州,藤枝ＭＹＦＣ,ザスパクサツ群馬,藤枝ＭＹＦＣ,ザスパクサツ群馬,栃木ウーヴァＦＣ,東京国際大,東久留米総合高,東京久留米ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-
1763,川島　みざき,Mizaki KAWASHIMA,FW,1999/02/05,168,67,,,,,,,,,,,,,,,,,,,,,,
1764,河田　篤秀,Atsushi KAWATA,FW,1992/09/18,177,77,徳島ヴォルティス,アルビレックス新潟,アルビレックス新潟Ｓ／シンガポール,阪南大,阪南大付属高,セレッソ大阪Ｕ-１５,和泉ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1765,川田　和宏,Kazuhiro KAWATA,MF,1982/06/11,173,70,,,,,,,,,,,,,,,,,,,,,,
1766,川田　拳登,Kento KAWATA,DF,1997/07/09,170,61,ＡＣ長野パルセイロ,大宮アルディージャ,ＡＣ長野パルセイロ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,ザスパクサツ群馬,大宮アルディージャ,大宮アルディージャユース,大宮アルディージャＪｒユース,大宮アルディージャジュニア,大宮早起きサッカースポーツ少年団,-,-,-,-,-,-
1767,河田　晃兵,Kohei KAWATA,GK,1987/10/13,184,73,ヴァンフォーレ甲府,ガンバ大阪,ヴァンフォーレ甲府,ガンバ大阪,アビスパ福岡,ガンバ大阪,福岡大,大分鶴崎高,カティオーラＦＣ,西の台ＪＦＣ,-,-,-,-,-,-,-,-,-,-,-,-
1768,川田　修平,Shuhei KAWATA,GK,1994/04/05,189,82,栃木ＳＣ,藤枝ＭＹＦＣ,栃木ＳＣ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,大宮アルディージャユース,ＦＣ深谷,深谷豊里ＳＳＳ,-,-,-,-,-,-,-,-,-,-,-,-,-
1769,川田　信茂,Nobushige KAWADA,MF,1970/12/03,173,65,,,,,,,,,,,,,,,,,,,,,,
1770,河津　良一,Ryoichi KAWAZU,DF,1992/05/22,177,70,,,,,,,,,,,,,,,,,,,,,,
1771,河面　旺成,Akinari KAWAZURA,DF,1994/05/03,183,76,大宮アルディージャ,明治大,作陽高,セレッソ大阪西Ｕ-１５,セレッソ大阪Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1772,川戸　大樹,Daiki KAWATO,MF,1994/04/05,168,63,,,,,,,,,,,,,,,,,,,,,,
1773,川中　健太,Kenta KAWANAKA,MF,1997/11/05,173,67,,,,,,,,,,,,,,,,,,,,,,
1774,川辺　隆弥,Takaya KAWANABE,MF,1988/12/22,174,62,,,,,,,,,,,,,,,,,,,,,,
1775,川鍋　良祐,Ryosuke KAWANABE,DF,1986/02/26,183,75,,,,,,,,,,,,,,,,,,,,,,
1776,河波　櫻士,Oji KAWANAMI,DF,2001/01/12,173,62,,,,,,,,,,,,,,,,,,,,,,
1777,川浪　吾郎,Goro KAWANAMI,GK,1991/04/30,192,89,サンフレッチェ広島,ベガルタ仙台,アルビレックス新潟,徳島ヴォルティス,柏レイソル,徳島ヴォルティス,柏レイソル,ＦＣ岐阜,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,手代木ＳＣ,-,-,-,-,-,-,-,-,-,-
1778,川西　翔太,Shota KAWANISHI,MF,1988/10/28,177,73,ＦＣ岐阜,大分トリニータ,ＦＣ岐阜,大分トリニータ,ＦＣ岐阜,大分トリニータ,モンテディオ山形,ガンバ大阪,モンテディオ山形,ガンバ大阪,大阪体育大,青森山田高,奈良ＦＣ,奈良ＦＣジュニア,-,-,-,-,-,-,-,-
1779,河西　真,Makoto KAWANISHI,DF,1996/06/21,177,70,福島ユナイテッドＦＣ,産業能率大,前橋育英高,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1780,河野　和正,Kazumasa KAWANO,GK,1970/11/07,186,80,,,,,,,,,,,,,,,,,,,,,,
1781,河野　健一,Kenichi KAWANO,MF,1982/09/15,171,63,,,,,,,,,,,,,,,,,,,,,,
1782,河野　孝汰,Kota KAWANO,FW,2003/08/12,176,73,レノファ山口ＦＣ,レノファ山口ＦＣ　Ｕ-１８,レノファ山口ＦＣ　Ｕ-１５,レノファ山口ＦＣ　Ｕ-１２,ボアソルテ美都ＦＣ,尾道東ＪＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1783,河野　真一,Shinichi KAWANO,FW,1969/11/05,171,72,,,,,,,,,,,,,,,,,,,,,,
1784,河野　貴志,Takashi KAWANO,DF,1996/06/17,186,85,ギラヴァンツ北九州,関西大,鵬翔高,都農中,都農ＦＣジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1785,河野　広貴,Hiroki KAWANO,MF,1990/03/30,168,65,,,,,,,,,,,,,,,,,,,,,,
1786,河野　陸,Riku KAWANO,DF,2003/02/14,176,60,,,,,,,,,,,,,,,,,,,,,,
1787,河野　諒祐,Ryosuke KAWANO,DF,1994/12/24,176,70,ファジアーノ岡山,水戸ホーリーホック,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ヴェルスパ大分,湘南ベルマーレ,福島ユナイテッドＦＣ,湘南ベルマーレ,湘南ベルマーレユース,湘南ベルマーレＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-
1788,河原　和寿,Kazuhisa KAWAHARA,FW,1987/01/29,173,67,,,,,,,,,,,,,,,,,,,,,,
1789,川原　周剛,Shugo KAWAHARA,MF,1980/02/14,175,65,,,,,,,,,,,,,,,,,,,,,,
1790,河原　創,So KAWAHARA,MF,1998/03/13,169,65,ロアッソ熊本,福岡大,大津高,ソレッソ熊本,ロアッソ熊本Ｊｒユース,山鹿ＦＣＪ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1791,川原　達也,Tatsuya KAWAHARA,DF,1985/12/16,183,79,,,,,,,,,,,,,,,,,,,,,,
1792,川原　那月,Natsuki KAWAHARA,MF,2004/07/29,165,55,,,,,,,,,,,,,,,,,,,,,,
1793,川原　颯斗,Hayato KAWAHARA,DF,2003/10/02,174,64,,,,,,,,,,,,,,,,,,,,,,
1794,河原塚　毅,Takeshi KAWAHARAZUKA,FW,1975/02/01,174,63,,,,,,,,,,,,,,,,,,,,,,
1795,河端　和哉,Kazuya KAWABATA,DF,1981/10/22,174,75,,,,,,,,,,,,,,,,,,,,,,
1796,河辺　駿太郎,Shuntaro KAWABE,FW,1996/05/26,166,65,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ジェイリースＦＣ,ＴＳＧプフェッダースハイム／ドイツ,ＦＶディーフレン／ドイツ,明治大,大分西中,ＦＣ　ＲＥＧＡＴＥ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1797,川辺　駿,Hayao KAWABE,MF,1995/09/08,178,70,サンフレッチェ広島,ジュビロ磐田,サンフレッチェ広島,ジュビロ磐田,サンフレッチェ広島,ジュビロ磐田,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,広島高陽ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-
1798,川邊　裕紀,Yuki KAWABE,DF,1987/04/02,182,75,,,,,,,,,,,,,,,,,,,,,,
1799,川前　陽斗,Haruto KAWAMAE,DF,2002/04/14,182,70,アスルクラロ沼津,飯塚高,ＶＡＬＥＮＴＩＡ　ＦＣ　Ｕ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1800,川前　力也,Rikiya KAWAMAE,DF,1971/08/20,180,72,,,,,,,,,,,,,,,,,,,,,,
1801,川又　堅碁,Kengo KAWAMATA,FW,1989/10/14,184,76,ジェフユナイテッド千葉,ジュビロ磐田,名古屋グランパス,アルビレックス新潟,ファジアーノ岡山,アルビレックス新潟,グレミオ　カタンドゥベンセ／ブラジル,アルビレックス新潟,小松高,東予東中,周布ＳＳ,-,-,-,-,-,-,-,-,-,-,-
1802,川俣　慎一郎,Shinichiro KAWAMATA,GK,1989/07/23,188,86,,,,,,,,,,,,,,,,,,,,,,
1803,川村　淳一,Junichi KAWAMURA,FW,1980/06/24,168,63,,,,,,,,,,,,,,,,,,,,,,
1804,河村　崇大,Takahiro KAWAMURA,MF,1979/10/04,181,75,,,,,,,,,,,,,,,,,,,,,,
1805,川村　拓夢,Takumu KAWAMURA,MF,1999/08/28,183,72,愛媛ＦＣ,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,原ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-
1806,河村　颯人,Hayato KAWAMURA,DF,2006/01/01,165,52,,,,,,,,,,,,,,,,,,,,,,
1807,河村　優,Yu KAWAMURA,MF,1980/12/01,170,64,,,,,,,,,,,,,,,,,,,,,,
1808,川村　琉偉,Rui KAWAMURA,FW,2003/01/07,167,58,,,,,,,,,,,,,,,,,,,,,,
1809,河本　明人,Akito KAWAMOTO,FW,1990/05/01,174,71,,,,,,,,,,,,,,,,,,,,,,
1810,川元　正英,Masahide KAWAMOTO,DF,1971/06/21,182,73,,,,,,,,,,,,,,,,,,,,,,
1811,河本　充弘,Mitsuhiro KAWAMOTO,DF,1971/06/12,176,65,,,,,,,,,,,,,,,,,,,,,,
1812,川本　良二,Ryoji KAWAMOTO,GK,1982/09/25,181,67,,,,,,,,,,,,,,,,,,,,,,
1813,川本　梨誉,Riyo KAWAMOTO,FW,2001/06/11,178,70,ファジアーノ岡山,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,中田サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1814,川森　有真,Yuma KAWAMORI,FW,1993/02/01,174,71,,,,,,,,,,,,,,,,,,,,,,
1815,河原木　響,Hibiki KAWARAGI,MF,2005/05/12,170,61,,,,,,,,,,,,,,,,,,,,,,
1816,河原地　亮太,Ryota KAWARAJI,FW,1998/06/14,166,55,,,,,,,,,,,,,,,,,,,,,,
1817,川原田　湧,Yu KAWARADA,MF,1998/04/05,161,52,,,,,,,,,,,,,,,,,,,,,,
1818,菅　和範,Kazunori KAN,DF,1985/11/11,177,75,,,,,,,,,,,,,,,,,,,,,,
1819,カン　ジュガン,KANG Jukwang,MF,1994/08/17,182,75,,,,,,,,,,,,,,,,,,,,,,
1820,カン　スイル,KANG Soo Il,FW,1987/07/15,184,74,,,,,,,,,,,,,,,,,,,,,,
1821,姜　成浩,KANG Song Ho,MF,1987/05/28,186,80,,,,,,,,,,,,,,,,,,,,,,
1822,姜　鉉守,KANG Hyun Su,MF,1984/06/16,172,64,,,,,,,,,,,,,,,,,,,,,,
1823,姜　曉一,KANG Hyo Il,FW,1988/03/28,170,63,,,,,,,,,,,,,,,,,,,,,,
1824,カン　ユング,GANG Yoon Goo,DF,1993/02/08,168,68,,,,,,,,,,,,,,,,,,,,,,
1825,神崎　大輔,Daisuke KANZAKI,MF,1985/02/02,177,67,,,,,,,,,,,,,,,,,,,,,,
1826,神田　渉馬,Shoma KANDA,GK,2002/07/09,183,67,松本山雅ＦＣ,松本山雅ＦＣＵ-１８,松本山雅ＦＣ　Ｕ-１５,南松本サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1827,神田　翔哉,Shoya KANDA,DF,2003/02/26,179,64,,,,,,,,,,,,,,,,,,,,,,
1828,神田　文之,Fumiyuki KANDA,MF,1977/09/29,176,71,,,,,,,,,,,,,,,,,,,,,,
1829,神田　夢実,Yumemi KANDA,MF,1994/09/14,170,63,Ｙ．Ｓ．Ｃ．Ｃ．横浜,東京２３ＦＣ,愛媛ＦＣ,北海道コンサドーレ札幌,ＳＣ相模原,北海道コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-
1830,菅野　紘希,Koki KANNO,DF,2002/10/25,183,80,,,,,,,,,,,,,,,,,,,,,,
1831,菅野　将太,Shota KANNO,MF,1984/01/06,170,65,,,,,,,,,,,,,,,,,,,,,,
1832,菅野　翔斗,Taketo KANNO,FW,2003/01/02,174,71,,,,,,,,,,,,,,,,,,,,,,
1833,菅野　哲也,Tetsuya KANNO,MF,1989/08/30,173,72,,,,,,,,,,,,,,,,,,,,,,
1834,上林　豪,Go KAMBAYASHI,GK,2002/08/18,185,74,,,,,,,,,,,,,,,,,,,,,,
1835,上米良　柊人,Shuto KAMMERA,MF,1996/07/02,167,66,ＡＣ長野パルセイロ,ＳＣ相模原,新潟医療福祉大,湘南工科大附属高,上溝中,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1836,カーリッチ,Amir KARIC,MF,1973/12/31,180,78,,,,,,,,,,,,,,,,,,,,,,
1837,ガウボン,Jose Antonio Martins GALVAO,FW,1982/07/08,187,80,,,,,,,,,,,,,,,,,,,,,,
1838,ガオ　テンイウ,GAO Tianyu,FW,2001/01/20,169,68,,,,,,,,,,,,,,,,,,,,,,
1839,ガスパル,Jozef GASPAR,DF,1977/08/23,191,85,,,,,,,,,,,,,,,,,,,,,,
1840,我那覇　和樹,Kazuki GANAHA,FW,1980/09/26,181,76,,,,,,,,,,,,,,,,,,,,,,
1841,ガビリア,Herman GAVIRIA Carvajal,MF,1969/11/27,185,78,,,,,,,,,,,,,,,,,,,,,,
1842,ガブリエル,GABRIEL Donizette De Santana,MF,1987/09/08,174,70,,,,,,,,,,,,,,,,,,,,,,
1843,ガブリエル,GABRIEL Okechukwu,FW,1995/08/26,188,72,北海道コンサドーレ札幌,ウィダード　カサブランカ／モロッコ,ＳＣＣモハメディア／モロッコ,ＦＣカルパティ　リヴィウ／ウクライナ,セント ジョージFＣ／マルタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1844,ガブリエル,GABRIEL Rodrigues Da Silva,FW,1996/02/15,193,86,,,,,,,,,,,,,,,,,,,,,,
1845,ガブリエル,GABRIEL Santana Pinto,MF,1990/01/06,178,66,,,,,,,,,,,,,,,,,,,,,,
1846,ガブリエル　シャビエル,Gabriel Augusto Xavier(GABRIEL XAVIER),FW,1993/07/15,169,68,名古屋グランパス,クルゼイロEC／ブラジル,名古屋グランパス,クルゼイロＥＣ／ブラジル,名古屋グランパス,クルゼイロＥＣ／ブラジル,ヴィトーリア／ブラジル,クルゼイロＥＣ／ブラジル,スポルトクラブドレーフェ／ブラジル,クルゼイロＥＣ／ブラジル,ポルトゲーザ／ブラジル,-,-,-,-,-,-,-,-,-,-,-
1847,ガブリエル　ナシメント,Gabriel Henrique Nascimento dos Santos(GABRIEL NASCIMENTO),MF,2002/07/24,174,73,,,,,,,,,,,,,,,,,,,,,,
1848,賀谷　英司,Eiji GAYA,DF,1969/02/08,176,71,,,,,,,,,,,,,,,,,,,,,,
1849,ガルサ,Edson Rodrigues(GARCA),DF,1967/03/13,184,75,,,,,,,,,,,,,,,,,,,,,,
1850,ガレアーノ,Marcos Aurelio GALEANO,MF,1972/03/28,181,79,,,,,,,,,,,,,,,,,,,,,,
1851,ガヴィオン,Carlos Alberto Rodrigues GAVIAO,MF,1980/02/02,180,75,,,,,,,,,,,,,,,,,,,,,,
1852,黄川田　賢司,Kenji KIKAWADA,FW,1974/10/28,179,71,,,,,,,,,,,,,,,,,,,,,,
1853,鞠　楓,JU Feng,MF,1995/01/11,176,70,,,,,,,,,,,,,,,,,,,,,,
1854,菊岡　拓朗,Takuro KIKUOKA,MF,1985/06/30,163,62,,,,,,,,,,,,,,,,,,,,,,
1855,菊川　晴,Haru KIKUGAWA,MF,2003/05/15,167,55,,,,,,,,,,,,,,,,,,,,,,
1856,菊谷　篤資,Atsushi KIKUTANI,MF,1997/06/18,169,62,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ＦＣバイエルン　アルツェナウ／ドイツ,ＴＳＧプフェッダースハイム／ドイツ,ＴＳＧブレッツェンハイム／ドイツ,江戸川大,聖和学園高,ヴィヴァイオ船橋Ｓ．ＣＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1857,菊池　完,Kan KIKUCHI,DF,1977/05/03,182,75,,,,,,,,,,,,,,,,,,,,,,
1858,菊地　貫太,Kanta KIKUCHI,DF,1998/08/14,180,65,,,,,,,,,,,,,,,,,,,,,,
1859,菊池　季汐,Kiseki KIKUCHI,DF,2003/09/29,175,65,,,,,,,,,,,,,,,,,,,,,,
1860,菊地　光将,Kosuke KIKUCHI,DF,1985/12/16,182,74,レノファ山口ＦＣ,大宮アルディージャ,川崎フロンターレ,駒澤大,浦和東高,越谷ＦＣＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
